publishedAt,authorDisplayName,textDisplay,likeCount
2024-02-14T17:39:54Z,@my-housedennisajy6274,"Gua dtg ke sini krna barusan udah nonton di televisi, blm habis film nya kira&quot; udah 40 menitan gua nonton, gua bela&quot;in ke sini mau komen karna Film nya kek anjing gx jelas taik.. no debat gx jelas film nya. sorot nya gx jelas kontrasnya look nya asal asalan gx jelas. nonton ini bukan tegang tp emosi, amatir banget. no debat. itu hak gua komentar.",0
2024-02-21T22:30:23Z,@semuagame1612,😴😴😴😴😴😴😴,0
2024-03-13T14:05:52Z,@suryaadjin4583,Tidur aja dekk,0
2024-02-06T07:23:14Z,@alxsmirr,Joko Anwar mmngg terdebestt siiihh film² nyaa,0
2024-01-28T04:03:17Z,@roneeivangabriez6968,Bang  ceritain  waktu  maghrib  bang,0
2024-01-20T04:19:17Z,@belpheghor3607,continental breakfast,0
2024-01-16T19:05:47Z,@okamadaniresyahputra4069,ini film bagus bgt sungguh,0
2024-01-10T00:41:02Z,@dwi_al8653,"ᴛᴇʀᴏʀ ɪʙʟɪs ʀᴀᴍɪɴᴏᴍ ʏɢ sᴅɢ ᴍᴇɴᴄᴀʀɪ ᴡᴀᴅᴀᴋ ʙᴀʀᴜ, 😊<br>ʀᴀᴍɪɴᴏᴍ ᴀᴋᴀ ᴍᴏᴍ. ʀᴀɴɪ ᴀᴛᴀᴜ ʏɢ ᴅɪsᴇʙᴜᴛ ᴅɢɴ ɪʙᴜ ʀᴀᴛᴜ😊<br>sᴜɴɢɢᴜʜ ᴘʟᴏᴛ ᴛᴡɪsᴛ ʏᴀ ᴘᴇᴍɪʀsᴀ... 😂",0
2024-01-04T19:51:20Z,@linziolamiach1120,Pengabdi Setan 2: Lin Ziola,0
2024-01-04T19:50:44Z,@linziolamiach1120,"<a href=""http://www.youtube.com/results?search_query=%23lin"">#Lin</a> Ziola <a href=""http://www.youtube.com/results?search_query=%23pengabdi"">#Pengabdi</a> Setan 2",0
2024-01-03T07:09:24Z,@sandeyn,"overall top markotop film nya. cuma 1, tolong audio suara actor nya di perbagus supaya setiap kata yang keluar bisa terdengar dengan jelas",1
2024-01-04T07:21:22Z,@ewa02,kan ada subtitle Indonesia nya,0
2024-10-06T10:25:35Z,@anon2962,​@@ewa02capek mata mutar bawah atas bawah atas...sdh ckup nntn film barat bgtu,0
2024-01-02T09:49:24Z,@Ernawati-od3tr,Wait for the next sequel,0
2024-01-01T15:41:52Z,@clay8147,bapak sama tari... mati nya ya Allah,0
2024-01-02T06:45:44Z,@ReniLestari-tb6xi,pengabdi setan 3 bapak bakal jdi anggota sekte,0
2024-04-21T12:25:09Z,@alfanbarizii9447,@@ReniLestari-tb6xi eh pliss lu kata siapa?😢,0
2024-01-01T09:47:37Z,@djinggapratiwieffendi1969,Kemarin pengabdi setan2 tayang di tv khusus tahun baru,0
2023-12-23T12:18:39Z,@InspirasiFajar,Anak nusuk freak😋😝😜 ibu jadi muslim😱,0
2023-12-11T12:13:24Z,@lizaenzel,Kapan masuk netflix ?,1
2023-12-26T07:26:06Z,@ewa02,tayang di Disney doang,0
2023-12-07T18:52:10Z,@PhilosopherPathan,Film ini sangat populer di Bangladesh. Ini adalah film horor berbasis cerita terbaik yang pernah saya lihat. Semoga Allah melindungi kita dari kekuatan jahat,40
2024-04-17T03:30:52Z,@earthquakevideoworld1899,"Thank you, you should watch another Indonesian Horror movie",2
2024-06-08T21:04:29Z,@duaislam9477,WHERE WAS THE STORY? WHAT STORY? SUCK YOUR MOM,0
2024-07-10T01:46:04Z,@derpling______,May god protect us bro,0
2024-10-06T10:26:09Z,@anon2962,​@@duaislam9477bikin malu lu kocak,0
2023-12-03T08:17:16Z,@026ishantkumar5,Where to watch in English,2
2023-10-31T07:50:56Z,@TowerFl670,😂😂😂😂😂😂😂😂😂,2
2023-10-29T05:39:42Z,@MuhammadHafizh-vh6ps,fff. cnfifjfifjiffjfifjfjfifjfgngifjffdjnsnajnginfkfjfnfifnjffjfjjffjf,0
2023-10-23T12:19:38Z,@Comygames,😂😂😂😂😂😂😂,2
2023-10-21T09:22:49Z,@lalruatfelizahau5527,Umm can anyone tell me where can i watch full movie please,0
